State_FIPS_Code,County_FIPS_Code,Postal Code,Name,poverty_estimate_all_ages,ci_lower_all_ages,ci_upper_all_ages,poverty_percent_all_ages,ci_lower_all_ages_pct,ci_upper_all_ages_pct,poverty_estimate_age_0_17,ci_lower_age_0_17,ci_upper_age_0_17,poverty_percent_age_0_17,ci_lower_age_0_17_pct,ci_upper_age_0_17_pct,poverty_estimate_age_5_17_families,ci_lower_age_5_17_families,ci_upper_age_5_17_families,poverty_percent_age_5_17_families,ci_lower_age_5_17_families_pct,ci_upper_age_5_17_families_pct,median_household_income,ci_lower_median_income,ci_upper_median_income,poverty_estimate_age_0_4,ci_lower_age_0_4,ci_upper_age_0_4,poverty_percent_age_0_4,ci_lower_age_0_4_pct,ci_upper_age_0_4_pct,fips
01,095,AL,Marshall County,14754,12075,17433,15.4,12.6,18.2,5860,4629,7091,24.6,19.4,29.8,3623,2710,4536,21.3,15.9,26.7,51417,46158,56676,,,,,,,01095
01,067,AL,Henry County,2743,2126,3360,16.2,12.6,19.8,809,556,1062,23.5,16.2,30.8,584,382,786,22.5,14.7,30.3,51126,43840,58412,,,,,,,01067
01,009,AL,Blount County,7525,6034,9016,13.1,10.5,15.7,2456,1877,3035,18.9,14.4,23.4,1515,1069,1961,15.8,11.1,20.5,55203,47820,62586,,,,,,,01009
01,033,AL,Colbert County,7864,6207,9521,14.4,11.4,17.4,2381,1653,3109,20.9,14.5,27.3,1670,1136,2204,20.3,13.8,26.8,54185,49363,59007,,,,,,,01033
01,089,AL,Madison County,39100,33403,44797,10.5,9,12,10909,8148,13670,13.5,10.1,16.9,7587,5503,9671,12.9,9.3,16.5,67810,63344,72276,,,,,,,01089
01,041,AL,Crenshaw County,2262,1694,2830,16.8,12.6,21,777,523,1031,25.6,17.2,34,553,363,743,24.3,16,32.6,45927,40682,51172,,,,,,,01041
01,055,AL,Etowah County,15650,12586,18714,15.6,12.5,18.7,4889,3378,6400,22.9,15.8,30,3535,2429,4641,22.9,15.7,30.1,47872,43311,52433,,,,,,,01055
01,059,AL,Franklin County,5357,4145,6569,17.2,13.3,21.1,1748,1225,2271,22.9,16,29.8,1186,797,1575,21.7,14.6,28.8,40448,35402,45494,,,,,,,01059
01,111,AL,Randolph County,3933,3066,4800,17.5,13.6,21.4,1285,873,1697,27.3,18.6,36,908,600,1216,26.2,17.3,35.1,46679,40659,52699,,,,,,,01111
01,133,AL,Winston County,4036,3252,4820,17.4,14,20.8,1056,731,1381,22.8,15.8,29.8,743,501,985,21.9,14.7,29.1,46453,42177,50729,,,,,,,01133
01,085,AL,Lowndes County,2083,1550,2616,21.9,16.3,27.5,796,552,1040,38.1,26.4,49.8,578,391,765,38.5,26.1,50.9,37499,32316,42682,,,,,,,01085
01,083,AL,Limestone County,10285,8069,12501,10.4,8.2,12.6,3166,2263,4069,14.3,10.2,18.4,2145,1479,2811,12.9,8.9,16.9,70850,65531,76169,,,,,,,01083
01,043,AL,Cullman County,10381,8129,12633,12.5,9.8,15.2,3196,2252,4140,17.4,12.3,22.5,2265,1550,2980,17,11.6,22.4,51844,46533,57155,,,,,,,01043
01,005,AL,Barbour County,5548,4210,6886,25.5,19.3,31.7,1857,1291,2423,37.5,26.1,48.9,1303,888,1718,35.8,24.4,47.2,38866,33510,44222,,,,,,,01005
01,081,AL,Lee County,28901,25260,32542,17.9,15.6,20.2,5772,4379,7165,16.8,12.7,20.9,3716,2691,4741,14.9,10.8,19,58963,51807,66119,,,,,,,01081
01,091,AL,Marengo County,3370,2468,4272,18.3,13.4,23.2,1236,820,1652,30.2,20,40.4,878,566,1190,29.2,18.8,39.6,43198,37785,48611,,,,,,,01091
01,023,AL,Choctaw County,2506,1874,3138,20.4,15.2,25.6,699,472,926,28.9,19.5,38.3,493,327,659,27.9,18.5,37.3,41649,35328,47970,,,,,,,01023
01,037,AL,Coosa County,1808,1337,2279,17.4,12.9,21.9,490,332,648,28.8,19.5,38.1,329,210,448,26.5,16.9,36.1,46509,40042,52976,,,,,,,01037
01,065,AL,Hale County,3166,2427,3905,21.9,16.8,27,1010,682,1338,30,20.3,39.7,694,458,930,28.5,18.8,38.2,41836,35250,48422,,,,,,,01065
01,057,AL,Fayette County,2640,2003,3277,16.5,12.5,20.5,801,551,1051,23.7,16.3,31.1,560,370,750,22.6,14.9,30.3,45937,40131,51743,,,,,,,01057
